"LOCATION","LOCATION_label.fr","LOCATION_label.en","TRANSACT","TRANSACT_label.fr","TRANSACT_label.en","MEASURE","MEASURE_label.fr","MEASURE_label.en","TIME_FORMAT","TIME_FORMAT_label.en","UNIT","UNIT_label.en","POWERCODE","POWERCODE_label.en","obsTime","obsValue"
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2005",1.420273
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2006",1.542056
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2007",1.360675
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2008",1.422727
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2009",1.600877
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2010",1.387834
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2011",1.265811
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2012",1.234284
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2013",1.219408
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2014",1.205433
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2015",1.433975
"NZL","Nouvelle-Zélande","New Zealand","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2016",1.436525
"SVK","République slovaque","Slovak Republic","PPPGDP","Parités de pouvoir d'achat du PIB","Purchasing Power Parities for GDP","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2005",0.564715
"SVK","République slovaque","Slovak Republic","PPPGDP","Parités de pouvoir d'achat du PIB","Purchasing Power Parities for GDP","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2006",0.554852
"SVK","République slovaque","Slovak Republic","PPPGDP","Parités de pouvoir d'achat du PIB","Purchasing Power Parities for GDP","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2007",0.554515
"SVK","République slovaque","Slovak Republic","PPPGDP","Parités de pouvoir d'achat du PIB","Purchasing Power Parities for GDP","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2008",0.53743
"SVK","République slovaque","Slovak Republic","PPPGDP","Parités de pouvoir d'achat du PIB","Purchasing Power Parities for GDP","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2009",0.514931
"SVK","République slovaque","Slovak Republic","PPPGDP","Parités de pouvoir d'achat du PIB","Purchasing Power Parities for GDP","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2010",0.501157
