"COU","COU_label.fr","COU_label.en","CORP_TAX","CORP_TAX_label.fr","CORP_TAX_label.en","TAR","TAR_label.fr","TAR_label.en","TIME_FORMAT","TIME_FORMAT_label.en","obsTime","obsValue"
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2007",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2008",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2009",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2010",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2011",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2012",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2013",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2014",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2015",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2016",33
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2000",29.12
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2001",28.12
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2002",26.12
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2003",24.12
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2004",22.12
